"Prefix","Number","Title","Hours","Description","Unk","Taught"
"HIST","3314","Traditional China","3","Surveys the history of Chinese civilization from its Neolithic beginnings through the tenth century of the common era. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","3315","Modern China","3","Surveys the history of Chinese civilization from the tenth through twentieth centuries. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","3317","The Crusades","3","A survey of Medieval European crusading activities in the Iberian Peninsula, the Baltic region, the Near East, and the Balkans. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","3318","Medieval Europe","3","The history of Europe from the fall of the Roman Empire to the late medieval period, including feudalism, the investiture controversy, the conflicts of papacy and empire, and the rise of national monarchies. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","3319","Early Modern Europe","3","An analysis of the general themes and issues in late medieval and early modern European history from about 1400 to the French Revolution; emphasis on new methods and approaches, especially recent attempts to refine social analysis and to study both popular and elite culture. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","3320","Modern Europe","3","A study of selected aspects of political, diplomatic, economic, and social history of Europe from the French Revolution to the Second World War. Geographical emphasis on England, France, and Germany. Topical focus on industrialization, modernization, and democratization in the 19th century, and on the emergence of mass society, war, and totalitarianism in the 20th century. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","3324","Women in European Society","3","An historical examination of the varied experiences of European women, focusing on work, family life, political action, sexuality, and cultural expression. May emphasize early modern or modern period. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","3326","Gender in Western Thought","3"," Identifies gendered approaches within the history of ideas, including philosophy, theology, and literature.  Universal truths about human nature, particularly with regard to sex and gender, are located within the intellectual milieu of various writers and within the larger body of Western thought. (Same as GST 3302). ","3-0","T"
"HIST","3328","History and Philosophy of Science and Medicine","3","An exploration of the development of philosophical ideas in science and medicine. Topics may include comparison of Eastern and Western philosophies of natural knowledge and medicine and scientific and medical concepts in philosophical and ethical contexts. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","3331","European Social History","3","A review of the major problems studied, methods used, and findings reached by the new social historians of Europe. The principal focus of their work and of this course is on the pre-industrial era. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","3333","European Social and Political Thought","3","A study of such concepts in social and political theory as authority, justice, equality, law, revolution, natural rights, state, and nation. May include texts by Locke, Burke, Bentham, Mill, Marx, and Nietzsche. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
